Mo da yda  time  FoF2
12 31 365  22.00    3.1
12 31 365  23.00    3.4
12 31 365   0.00   3.45
12 31 365   1.00    3.0
12 31 365   2.00    2.4
12 31 365   3.00    1.9
12 31 365   4.00    2.5
12 31 365   5.00    2.6
12 31 365   6.00   4.15
12 31 365   7.00    5.4
12 31 365   8.00    5.6
12 31 365   9.00    5.8
12 31 365  10.00   5.95
12 31 365  11.00    4.5
12 31 365  12.00    4.7
12 31 365  13.00    4.5
12 31 365  14.00    3.0
12 31 365  15.00    2.3
12 31 365  16.00    2.1
12 31 365  17.00    2.2
12 31 365  18.00    2.3
12 31 365  19.00   2.55
12 31 365  20.00    3.0
12 31 365  21.00   2.95
