Mo da yda  time  FoF2
 1 11  11  22.00    2.6
 1 11  11  23.00    2.9
 1 11  11   0.00    2.9
 1 11  11   1.00   2.55
 1 11  11   2.00    2.0
 1 11  11   3.00    1.9
 1 11  11   4.00    2.0
 1 11  11   5.00    2.3
 1 11  11   6.00    4.1
 1 11  11   7.00    4.6
 1 11  11   8.00    5.4
 1 11  11   9.00    5.2
 1 11  11  10.00    5.3
 1 11  11  11.00   5.75
 1 11  11  12.00    5.1
 1 11  11  13.00   4.65
 1 11  11  14.00   4.25
 1 11  11  15.00    3.5
 1 11  11  16.00   3.05
 1 11  11  17.00    2.0
 1 11  11  18.00    2.2
 1 11  11  19.00    2.7
 1 11  11  20.00   2.55
 1 11  11  21.00    2.5
