Mo da yda  time  FoF2
 3  6  65  22.00    2.6
 3  6  65   0.00    3.0
 3  6  65   1.00    3.1
 3  6  65   2.00    3.2
 3  6  65   3.00    3.0
 3  6  65   4.00    3.6
 3  6  65   5.00    4.8
 3  6  65   6.00    5.3
 3  6  65   7.00   5.55
 3  6  65   8.00    6.1
 3  6  65   9.00    6.0
 3  6  65  10.00    6.3
 3  6  65  11.00   6.55
 3  6  65  12.00   5.65
 3  6  65  15.00    5.1
 3  6  65  16.00   4.25
 3  6  65  17.00    4.7
 3  6  65  18.00    4.2
 3  6  65  19.00    3.5
 3  6  65  20.00    3.3
 3  6  65  21.00   3.05
