Mo da yda  time  FoF2
 3 28  87  22.00    3.0
 3 28  87  23.00    2.9
 3 28  87   0.00    2.7
 3 28  87   1.00    2.7
 3 28  87   2.00   2.75
 3 28  87   3.00    3.2
 3 28  87   4.00    3.2
 3 28  87   5.00    4.1
 3 28  87   6.00    5.2
 3 28  87   7.00    6.2
 3 28  87   8.00   7.75
 3 28  87   9.00   6.95
 3 28  87  10.00    6.4
 3 28  87  11.00    6.1
 3 28  87  12.00   5.65
 3 28  87  13.00    6.1
 3 28  87  14.00   5.95
 3 28  87  15.00    5.9
 3 28  87  16.00    5.7
 3 28  87  17.00   5.75
 3 28  87  18.00    5.3
 3 28  87  19.00    5.3
 3 28  87  20.00    4.1
 3 28  87  21.00    3.2
