Mo da yda  time  FoF2
 1  8   8  22.00    2.4
 1  8   8  23.00    2.8
 1  8   8   0.00   3.15
 1  8   8   1.00   2.65
 1  8   8   2.00    2.2
 1  8   8   3.00    2.3
 1  8   8   4.00    2.5
 1  8   8   5.00   2.45
 1  8   8   6.00   3.25
 1  8   8   7.00    5.5
 1  8   8   8.00    6.0
 1  8   8   9.00    5.7
 1  8   8  10.00    5.0
 1  8   8  11.00    6.0
 1  8   8  14.00    2.5
 1  8   8  15.00   2.45
 1  8   8  17.00   2.35
 1  8   8  18.00    2.2
 1  8   8  19.00    2.3
 1  8   8  20.00    2.6
 1  8   8  21.00   2.65
