Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
 1 29  29   0.00          2.20                     
 1 29  29   6.00   6.00   1.80   2.20              
 1 29  29   7.00   6.20   2.10   2.35              
 1 29  29   8.00   5.50   2.30   2.40              
 1 29  29   9.00   6.10   2.10   2.40              
 1 29  29  10.00   6.40   2.80                     
 1 29  29  11.00   5.50   2.00   2.30              
 1 29  29  12.00   5.20   2.60                     
 1 29  29  13.00   5.30   1.60   1.60              
 1 29  29  14.00   3.40   1.70                     
 1 29  29  15.00   3.20   1.50                     
