Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
 1 26  26  22.00   2.00   1.60                     
 1 26  26  23.00   1.90   1.60                     
 1 26  26   4.00   2.40   1.50                     
 1 26  26   5.00   4.40   1.90                     
 1 26  26   6.00   5.40   2.30   2.00              
 1 26  26   7.00   6.20   2.60                     
 1 26  26   8.00   6.40   2.40   2.40              
 1 26  26   9.00   5.80   3.10                     
 1 26  26  10.00   5.40   2.40   2.40              
 1 26  26  11.00   5.30   2.20   2.20              
 1 26  26  12.00   5.60   2.00   2.00              
 1 26  26  13.00   5.00   1.80   1.80              
 1 26  26  14.00   3.80   1.50                     
 1 26  26  15.00   3.00   1.50                     
 1 26  26  16.00   2.60   1.50                     
 1 26  26  17.00   2.20   1.50                     
 1 26  26  18.00   2.00   1.70                     
 1 26  26  19.00   2.00   1.60                     
 1 26  26  20.00   2.00   1.50                     
 1 26  26  21.00   2.20   1.60                     
