Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
 1 10  10  22.00   2.40   1.60                     
 1 10  10  23.00   2.40   1.60                     
 1 10  10   0.00   2.10   1.60                     
 1 10  10   1.00          2.00                     
 1 10  10   5.00   3.50   1.60   1.60              
 1 10  10   6.00   4.90   2.00   2.00              
 1 10  10   7.00   5.40   2.40   2.40              
 1 10  10   8.00   5.50   2.70   2.70              
 1 10  10   9.00   6.20   2.80   2.80              
 1 10  10  10.00   6.60   2.80   2.80              
 1 10  10  11.00   5.20   2.60   2.60              
 1 10  10  12.00   5.20   2.30   2.30              
 1 10  10  13.00   4.90   1.60                     
 1 10  10  14.00   3.40   1.50                     
 1 10  10  15.00   2.30   1.50                     
 1 10  10  16.00   2.00   1.50                     
 1 10  10  21.00   1.70   1.50                     
