Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
12 18 353  22.00   2.20   1.60                     
12 18 353  23.00   2.30   1.50                     
12 18 353   0.00   2.30   2.10                     
12 18 353   1.00   2.00   1.60                     
12 18 353   2.00   2.00   1.60                     
12 18 353   3.00   1.70   1.60                     
12 18 353   4.00   2.00   1.50                     
12 18 353   5.00   3.30   2.30                     
12 18 353   6.00   4.60   2.00                     
12 18 353   7.00   5.10   2.30                     
12 18 353   8.00   6.30   3.00                     
12 18 353   9.00   5.80   3.00                     
12 18 353  10.00   6.10   4.70                     
12 18 353  11.00   5.40   5.30                     
12 18 353  12.00   4.10   2.70                     
12 18 353  13.00   3.50   4.10                     
12 18 353  14.00   2.70   3.10                     
12 18 353  15.00   2.20   2.00                     
12 18 353  16.00   1.90   2.40                     
12 18 353  17.00   2.30   1.60                     
12 18 353  18.00   2.50   2.10                     
12 18 353  19.00   2.80   1.40                     
12 18 353  20.00   2.90   2.00                     
12 18 353  21.00   2.90   1.50                     
