Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
12 26 361  22.00   1.90   1.60                     
12 26 361  23.00   2.00   1.60                     
12 26 361   5.00   3.40   1.60   1.60              
12 26 361   6.00   4.80   2.20                     
12 26 361   7.00   5.10   2.30                     
12 26 361   8.00   5.40   2.90                     
12 26 361   9.00   5.10   2.40                     
12 26 361  10.00   5.40   2.60                     
12 26 361  11.00   6.80   2.30                     
12 26 361  12.00   6.50   1.50   1.50              
12 26 361  13.00   5.70   1.60                     
12 26 361  14.00   3.50   1.40                     
12 26 361  15.00   2.70   1.60                     
12 26 361  16.00   2.50   1.60                     
12 26 361  17.00   3.00   1.60                     
12 26 361  18.00   2.50   1.60                     
12 26 361  19.00          1.50                     
12 26 361  20.00   2.70   1.50                     
12 26 361  21.00   2.60   1.40                     
