Mo da yda  time  FoF2
12 10 344  22.00    4.7
12 10 344  23.00    4.5
12 10 344   0.00    4.7
12 10 344   1.00    4.4
12 10 344   2.00    4.1
12 10 344   3.00    3.8
12 10 344   4.00    3.8
12 10 344   5.00    3.9
12 10 344   6.00    5.1
12 10 344   7.00    5.4
12 10 344   8.00   4.95
12 10 344   9.00    5.0
12 10 344  10.00    5.5
12 10 344  11.00    5.7
12 10 344  12.00    5.3
12 10 344  13.00    4.8
12 10 344  14.00   3.75
12 10 344  15.00    3.0
12 10 344  16.00    3.0
12 10 344  17.00    3.4
12 10 344  18.00    3.4
12 10 344  19.00   3.45
12 10 344  20.00    3.6
12 10 344  21.00    3.9
