Mo da yda  time  FoF2
12 17 351  23.00    3.6
12 17 351   0.00    3.8
12 17 351   1.00    3.5
12 17 351   2.00    2.7
12 17 351   3.00    2.6
12 17 351   4.00    2.4
12 17 351   5.00    4.2
12 17 351   6.00    4.4
12 17 351   7.00    5.2
12 17 351   8.00    4.5
12 17 351   9.00    6.8
12 17 351  10.00    5.8
12 17 351  11.00    5.6
12 17 351  12.00    5.7
12 17 351  14.00   3.36
12 17 351  15.00    2.5
12 17 351  16.00    2.5
12 17 351  18.00    2.6
12 17 351  20.00    3.4
12 17 351  21.00    3.3
