Mo da yda  time  FoF2
 2 21  52  22.00    2.4
 2 21  52  23.00    2.6
 2 21  52   0.00    2.6
 2 21  52   1.00    2.9
 2 21  52   2.00    2.7
 2 21  52   3.00    2.4
 2 21  52   5.00    4.0
 2 21  52   6.00    5.1
 2 21  52   7.00    5.7
 2 21  52   8.00    5.6
 2 21  52   9.00    5.5
 2 21  52  10.00    4.9
 2 21  52  11.00    5.7
 2 21  52  12.00    5.2
 2 21  52  13.00    5.0
 2 21  52  14.00   4.75
 2 21  52  15.00    4.8
 2 21  52  16.00    3.3
 2 21  52  18.00    2.3
 2 21  52  19.00    2.3
 2 21  52  20.00    2.3
 2 21  52  21.00    2.2
