Mo da yda  time  FoF2
12 11 345   0.00    4.0
12 11 345   1.00    3.5
12 11 345   2.00   3.55
12 11 345   3.00    3.0
12 11 345   4.00    3.0
12 11 345   5.00    2.8
12 11 345   6.00    4.6
12 11 345   7.00    6.2
12 11 345   8.00    6.5
12 11 345   9.00   6.15
12 11 345  10.00    6.2
12 11 345  11.00   5.45
12 11 345  12.00    6.0
12 11 345  13.00    4.8
12 11 345  14.00    3.8
12 11 345  15.00    2.8
12 11 345  16.00    2.9
12 11 345  17.00    2.5
12 11 345  20.00    3.9
12 11 345  21.00    4.0
