Mo da yda  time  FoF2
12 28 362  22.00    3.7
12 28 362  23.00    3.4
12 28 362   0.00    3.5
12 28 362   1.00    3.2
12 28 362   2.00    2.8
12 28 362   4.00    2.2
12 28 362   5.00    2.4
12 28 362   6.00    4.4
12 28 362   7.00    4.4
12 28 362   8.00   4.65
12 28 362  10.00    4.5
12 28 362  11.00   5.05
12 28 362  12.00    4.8
12 28 362  13.00    3.7
12 28 362  14.00    2.6
12 28 362  15.00    2.5
12 28 362  16.00    2.2
12 28 362  17.00    2.6
12 28 362  18.00    2.6
12 28 362  19.00    2.1
