Mo da yda  time  FoF2
 3 14  74  22.00    2.7
 3 14  74  23.00    2.9
 3 14  74   0.00    3.0
 3 14  74   1.00    2.7
 3 14  74   4.00    2.7
 3 14  74   5.00    3.8
 3 14  74   6.00    4.6
 3 14  74   7.00    5.0
 3 14  74   8.00    5.4
 3 14  74   9.00   5.35
 3 14  74  10.00    5.2
 3 14  74  11.00    5.3
 3 14  74  12.00   5.55
 3 14  74  13.00    5.5
 3 14  74  14.00    5.2
 3 14  74  15.00   4.75
 3 14  74  16.00   4.35
 3 14  74  17.00    4.8
 3 14  74  18.00    4.2
 3 14  74  19.00    3.4
 3 14  74  20.00    2.9
