Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
 1 29  29  22.00   2.70   1.60                     
 1 29  29  23.00   2.80   1.50                     
 1 29  29   0.00   2.50   1.50                     
 1 29  29   1.00   2.20   1.60                     
 1 29  29   2.00   2.10   1.60                     
 1 29  29   3.00   2.20   1.60                     
 1 29  29   4.00   2.60   1.60                     
 1 29  29   5.00   4.80          1.80              
 1 29  29   6.00   5.20   2.70   2.70              
 1 29  29   7.00   6.00   2.90   2.90              
 1 29  29   8.00   5.60   3.00   3.00              
 1 29  29   9.00   6.00   3.00   3.00              
 1 29  29  10.00   5.10   3.00   3.00              
 1 29  29  11.00   4.90   3.00   3.00              
 1 29  29  12.00   5.10   2.80   2.80              
 1 29  29  13.00   4.50          1.50              
 1 29  29  14.00   3.10   1.60                     
 1 29  29  15.00   2.50   1.60                     
 1 29  29  16.00   2.00   1.50                     
 1 29  29  17.00   2.10   1.50                     
 1 29  29  18.00   2.00                            
 1 29  29  19.00   2.00   1.50                     
 1 29  29  20.00   2.10   1.70                     
 1 29  29  21.00   2.40   1.60                     
