Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
 2 15  46   5.00             4                    4
 2 15  46   7.00      3                            
 2 15  46   8.00    4.3                            
 2 15  46   9.00      4                  3.5       
 2 15  46  10.00    4.5                  3.7       
 2 15  46  11.00      5                  3.8       
 2 15  46  12.00    5.3                    4       
 2 15  46  13.00    5.3                  3.4       
 2 15  46  14.00    5.4                            
 2 15  46  15.00      5                            
 2 15  46  16.00    4.3                            
 2 15  46  17.00    3.7                            
 2 15  46  18.00    2.8                            
 2 15  46  19.00    2.4                            
 2 15  46  21.00      2                            
 2 15  46  22.00    2.1                            
 2 15  46  23.00    2.1                            
