Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
12 17 351   7.00      4                            
12 17 351   8.00    4.3                            
12 17 351   9.00    5.1                            
12 17 351  10.00    4.9    2.5                  2.5
12 17 351  11.00    4.9                            
12 17 351  12.00    4.9                            
12 17 351  13.00    4.3                            
12 17 351  14.00    3.8                            
12 17 351  15.00    3.3                            
12 17 351  16.00      3                            
