Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
12 13 347   0.00    2.8                            
12 13 347   1.00    3.2                            
12 13 347   2.00    3.3                            
12 13 347   3.00    3.2                            
12 13 347   4.00    3.1                            
12 13 347   5.00    2.6                            
12 13 347   6.00    3.4                            
12 13 347   7.00    4.4                            
12 13 347   8.00    5.3    2.8                  2.1
12 13 347   9.00    5.9    3.5                  3.5
12 13 347  10.00    6.3    2.9      2           2.5
12 13 347  11.00    6.6                            
12 13 347  12.00    5.9                            
12 13 347  13.00    5.4                            
12 13 347  14.00      5    3.3                  3.3
12 13 347  15.00    4.2    3.5                  3.5
12 13 347  16.00    3.8      4                    3
12 13 347  17.00    2.8                            
12 13 347  23.00    2.5                            
