Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
 2 14  45  22.00   2.60   2.20                     
 2 14  45  23.00   2.70   1.70                     
 2 14  45   0.00   2.10   1.60                     
 2 14  45   4.00   2.50   1.50                     
 2 14  45   5.00   3.60          1.60              
 2 14  45   6.00   4.00   2.30                     
 2 14  45   7.00   4.60          2.15              
 2 14  45   8.00   4.80          2.20              
 2 14  45   9.00   4.80   1.90                     
 2 14  45  10.00   4.90   3.00                     
 2 14  45  11.00   5.20   2.40                     
 2 14  45  12.00   5.20   2.80   2.80              
 2 14  45  13.00   4.70          2.00              
 2 14  45  14.00   4.60   1.50                     
 2 14  45  15.00   3.30   1.60                     
 2 14  45  16.00   2.30   1.60                     
 2 14  45  19.00          2.20                     
 2 14  45  20.00          2.20                     
 2 14  45  21.00   2.00   1.60                     
