Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
12 16 350   7.00    3.9                            
12 16 350   8.00    4.3                            
12 16 350   9.00    4.5                            
12 16 350  10.00    5.3                            
12 16 350  11.00    5.5                            
12 16 350  12.00    4.7                            
12 16 350  13.00    5.5    1.7                  1.7
12 16 350  14.00    4.8                            
12 16 350  15.00    3.4                            
12 16 350  17.00    2.6                            
12 16 350  18.00    2.4                            
