Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
12 22 356   0.00    2.8                            
12 22 356   1.00    2.9                            
12 22 356   2.00    2.7                            
12 22 356   3.00    2.3                            
12 22 356   7.00    3.9                            
12 22 356   8.00    4.8                            
12 22 356   9.00    5.2                            
12 22 356  10.00    5.3                            
12 22 356  11.00    5.2                            
12 22 356  12.00    5.1                            
12 22 356  13.00    4.8                    3       
12 22 356  14.00      5                            
12 22 356  15.00    3.5    2.7                    2
12 22 356  16.00           4.3                  4.3
12 22 356  17.00      3                            
