Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
12 18 352   7.00    4.3                            
12 18 352   8.00      5           2.1              
12 18 352   9.00    4.8                            
12 18 352  10.00      6    2.3                  2.3
12 18 352  11.00    5.3                            
12 18 352  12.00      6                            
12 18 352  13.00    5.8                            
12 18 352  14.00    5.4    3.2                  2.7
12 18 352  15.00      3    2.5                  2.2
12 18 352  16.00    3.2    3.6                  2.2
12 18 352  17.00    2.5                            
12 18 352  18.00    3.3                            
12 18 352  22.00    2.6                            
12 18 352  23.00      2                            
