Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
 2 13  44  22.00   2.20   1.50                     
 2 13  44  23.00   2.20   1.40                     
 2 13  44   0.00   2.20   1.50                     
 2 13  44   1.00   1.80   1.50                     
 2 13  44   4.00   2.60          1.50              
 2 13  44   5.00   4.00   2.20                     
 2 13  44   6.00   4.20   2.90   2.90              
 2 13  44   7.00   4.90   3.00   3.00              
 2 13  44   8.00   4.70   3.00   3.00   3.60       
 2 13  44   9.00   5.00   2.90   2.90   3.60       
 2 13  44  10.00   4.90   2.90   2.90              
 2 13  44  11.00   5.40   2.90   2.90              
 2 13  44  12.00   4.90   3.00   3.00              
 2 13  44  13.00   4.70          1.80              
 2 13  44  14.00   4.50   1.40                     
 2 13  44  15.00   3.30   1.60                     
 2 13  44  16.00   2.10   1.50                     
 2 13  44  17.00   2.10   1.50                     
 2 13  44  18.00   2.20   1.50                     
 2 13  44  19.00   2.40   1.70                     
 2 13  44  20.00   2.60   1.90                     
 2 13  44  21.00   2.50   2.20                     
