Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
12 20 354   0.00    2.6                            
12 20 354   1.00    2.4                            
12 20 354   2.00    2.6                            
12 20 354   3.00    2.3                            
12 20 354   7.00    4.2                            
12 20 354   8.00    4.8                            
12 20 354   9.00    6.8                            
12 20 354  10.00      6             3              
12 20 354  11.00    5.3                            
12 20 354  12.00    4.6                            
12 20 354  13.00    4.2                            
12 20 354  14.00    4.3                            
12 20 354  15.00                                   
12 20 354  16.00    2.3                            
12 20 354  18.00                                   
12 20 354  19.00    2.8                            
12 20 354  20.00    2.8                            
12 20 354  21.00    2.9                            
12 20 354  22.00      3                            
12 20 354  23.00    2.7                            
