Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
12 10 344   0.00    2.3                            
12 10 344   1.00    2.3                            
12 10 344   2.00    2.3                            
12 10 344   7.00      4                            
12 10 344   8.00    4.5                            
12 10 344   9.00    5.2                            
12 10 344  10.00    5.4                            
12 10 344  11.00    5.6                            
12 10 344  12.00      6                            
12 10 344  13.00      5                            
12 10 344  14.00    4.6                            
12 10 344  15.00      4                            
12 10 344  16.00    2.8                            
12 10 344  17.00    2.1                            
