Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
12 11 345  22.00   2.60   1.00                     
12 11 345  23.00   2.50   1.50                     
12 11 345   0.00   2.10   1.60                     
12 11 345   1.00   1.90   5.30                     
12 11 345   2.00   1.80   1.60                     
12 11 345   3.00   1.90                            
12 11 345   4.00   2.00   1.60                     
12 11 345   5.00   3.60         160.00              
12 11 345   6.00   4.80   2.70  270.00              
12 11 345   7.00   4.90   2.90  290.00              
12 11 345   8.00   6.00   2.90  290.00              
12 11 345   9.00   5.60   2.30                     
12 11 345  10.00   4.90   2.90  290.00              
12 11 345  11.00   5.30   2.60  260.00              
12 11 345  12.00   4.10         170.00              
12 11 345  13.00   3.90   1.60                     
12 11 345  14.00   3.30   2.00                     
12 11 345  15.00   2.60   1.60                     
12 11 345  16.00   2.70   3.00                     
12 11 345  17.00   2.50   2.70                     
12 11 345  18.00   2.40   3.60                     
12 11 345  19.00   2.40   5.30                     
12 11 345  20.00   2.40   4.30                     
12 11 345  21.00   2.80   3.20                     
