Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
 1 11  11   0.00           3.5                  3.5
 1 11  11   1.00    2.5                            
 1 11  11   2.00    2.3                            
 1 11  11   3.00    2.3                            
 1 11  11   4.00    2.7                            
 1 11  11   7.00    4.3                            
 1 11  11   8.00    4.5      3                    3
 1 11  11   9.00    4.8                            
 1 11  11  10.00    5.5                            
 1 11  11  11.00    5.8    4.2                  4.2
 1 11  11  12.00    5.5    3.7                  3.7
 1 11  11  13.00    5.3                            
 1 11  11  14.00    5.2                            
 1 11  11  15.00    5.3                            
 1 11  11  16.00    4.1                            
