Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
12 21 355   0.00      3                            
12 21 355   1.00    2.7                            
12 21 355   2.00    2.5                            
12 21 355   3.00                                   
12 21 355   4.00      5                            
12 21 355   5.00      5                            
12 21 355   6.00    5.5    3.7                  3.7
12 21 355   7.00      6                            
12 21 355   8.00      6                            
12 21 355   9.00    6.2                            
12 21 355  10.00    6.8                            
12 21 355  11.00    5.3    2.7                  2.7
12 21 355  12.00    3.2                            
12 21 355  13.00    3.3                            
12 21 355  14.00                                   
12 21 355  15.00    2.8                            
12 21 355  16.00                                   
12 21 355  18.00                                   
12 21 355  22.00    2.8                            
12 21 355  23.00    2.6                            
