Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
12 15 349   0.00    2.9                            
12 15 349   1.00    2.9                            
12 15 349   2.00    2.6                            
12 15 349   7.00      4                            
12 15 349   8.00    5.8                            
12 15 349   9.00      6           2.3              
12 15 349  10.00    5.8           2.5    3.5       
12 15 349  11.00    5.8    2.5    2.4           2.5
12 15 349  12.00    5.8           2.4              
12 15 349  13.00    5.8             2              
12 15 349  14.00    5.2                            
12 15 349  15.00    4.5                            
12 15 349  16.00    2.7                            
