Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
 1 14  14  22.00   2.10   1.60                     
 1 14  14  23.00   2.10   1.60                     
 1 14  14   0.00   1.90   1.60                     
 1 14  14   1.00   2.00   1.60                     
 1 14  14   2.00   1.80                            
 1 14  14   3.00   1.70                            
 1 14  14   4.00   1.80   1.60                     
 1 14  14   5.00   3.50   2.30                     
 1 14  14   6.00   5.50   2.20                     
 1 14  14   7.00   4.80   2.40   2.25              
 1 14  14   8.00   5.20   2.60   2.40              
 1 14  14   9.00   5.90   2.40   2.40              
 1 14  14  10.00   5.40   2.40                     
 1 14  14  11.00   4.90   2.20                     
 1 14  14  12.00   4.50   2.00                     
 1 14  14  13.00   4.10   1.60                     
 1 14  14  14.00   2.90   1.60                     
 1 14  14  15.00   2.40   1.60                     
 1 14  14  16.00   2.10   1.70                     
 1 14  14  17.00   2.10   2.30                     
 1 14  14  18.00   2.10   2.80                     
 1 14  14  19.00   2.30   1.70                     
 1 14  14  20.00   2.30   3.00                     
 1 14  14  21.00   2.50   1.60                     
