Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
12 10 344  22.00   2.50   1.00                     
12 10 344  23.00   2.70   1.00                     
12 10 344   0.00   2.40   1.00                     
12 10 344   1.00   2.20   1.50                     
12 10 344   2.00   2.00   1.50                     
12 10 344   3.00   1.90                            
12 10 344   4.00   1.90   1.80                     
12 10 344   5.00   3.70   2.00  150.00              
12 10 344   6.00   4.50   3.10                     
12 10 344   7.00   5.20   2.90  290.00              
12 10 344   8.00   5.90   3.60  320.00              
12 10 344   9.00   5.30   3.00                     
12 10 344  10.00   5.90   3.00  300.00              
12 10 344  11.00   4.90   2.70  270.00              
12 10 344  12.00   4.60         180.00              
12 10 344  13.00   4.40   1.50                     
12 10 344  14.00   3.00   1.60                     
12 10 344  15.00   2.60   1.60                     
12 10 344  16.00   2.00   1.60                     
12 10 344  17.00   2.30   1.60                     
12 10 344  18.00   2.10   1.60                     
12 10 344  19.00   2.30   1.60                     
12 10 344  20.00   2.50   1.60                     
12 10 344  21.00   2.60   1.00                     
