Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
 3 13  72   6.00    3.9                            
 3 13  72   7.00    4.3           2.4    3.7       
 3 13  72   8.00    4.8           2.5      4       
 3 13  72   9.00      5           2.6    4.2       
 3 13  72  10.00    5.1           2.7    4.4       
 3 13  72  11.00    5.5             3    4.5       
 3 13  72  12.00    5.2           2.9    4.4       
 3 13  72  13.00    5.2           2.7      4       
 3 13  72  14.00      5           2.5    3.5       
 3 13  72  15.00    4.8           2.2              
 3 13  72  16.00    4.5                            
 3 13  72  17.00    4.5                            
 3 13  72  18.00    3.8                            
 3 13  72  19.00    3.2                            
