Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
12 26 360   7.00    3.7                            
12 26 360   8.00      4                            
12 26 360   9.00    3.5    2.5                  2.5
12 26 360  10.00    5.2                            
12 26 360  11.00      5                            
12 26 360  12.00    4.9                            
12 26 360  13.00    4.9                            
12 26 360  14.00    4.8                            
12 26 360  15.00    3.9                            
12 26 360  16.00      4                            
12 26 360  17.00             4                    4
