Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
12 11 345   9.00    5.7                            
12 11 345  10.00    5.6                            
12 11 345  11.00    5.2                            
12 11 345  12.00    5.6                            
12 11 345  13.00    5.2                            
12 11 345  14.00    4.6                            
12 11 345  15.00    3.8                            
12 11 345  16.00    3.1                            
12 11 345  17.00    2.5                            
12 11 345  20.00                                   
12 11 345  21.00    2.5                            
12 11 345  22.00    2.8                            
12 11 345  23.00      3                            
