Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
 2 18  49   2.00      2                            
 2 18  49   6.00    3.5                            
 2 18  49   7.00      5                  2.5       
 2 18  49   8.00      6                            
 2 18  49   9.00    6.2                  3.4       
 2 18  49  10.00      6                  3.5       
 2 18  49  11.00    6.5                  3.7       
 2 18  49  12.00    6.4                  3.6       
 2 18  49  13.00    6.4                            
 2 18  49  14.00    6.4                            
 2 18  49  15.00    5.6                            
 2 18  49  16.00      5                            
 2 18  49  17.00    4.4                            
 2 18  49  19.00    2.8                            
