Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
12 25 359   7.00    3.6                            
12 25 359   8.00    5.9    2.5                     
12 25 359   9.00      6           2.4              
12 25 359  10.00    6.6    2.8                  2.8
12 25 359  11.00    4.8    2.8                  2.8
12 25 359  12.00      6                            
12 25 359  13.00      6                            
12 25 359  14.00    5.1                            
12 25 359  15.00    4.3                            
12 25 359  16.00    3.5                            
12 25 359  17.00    2.3                            
