Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
 1 31  31  22.00   2.30   1.50                     
 1 31  31  23.00   2.50   1.00                     
 1 31  31   0.00   2.30   1.60                     
 1 31  31   1.00   2.00   1.80                     
 1 31  31   2.00   1.90   2.40                     
 1 31  31   3.00   1.80   2.30                     
 1 31  31   4.00   2.30   1.30                     
 1 31  31   5.00   4.10          1.60              
 1 31  31   6.00   5.30   1.90                     
 1 31  31   7.00   5.30   2.10   2.10              
 1 31  31   8.00   5.50   2.50   2.30              
 1 31  31   9.00   6.30   2.50   2.50              
 1 31  31  10.00   5.80   2.80   2.45              
 1 31  31  11.00   6.20   2.30   2.25              
 1 31  31  12.00   5.20   2.00   1.95              
 1 31  31  13.00   5.90          1.50              
 1 31  31  14.00   5.00   1.50                     
 1 31  31  15.00   4.60   1.60                     
 1 31  31  16.00   3.00   1.60                     
 1 31  31  17.00   3.10   1.60                     
 1 31  31  18.00   2.00   1.70                     
 1 31  31  19.00   2.50   1.70                     
 1 31  31  20.00   2.30   1.60                     
 1 31  31  21.00   2.30   1.60                     
