Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
 3 17  77  23.00   2.00   1.60                     
 3 17  77   1.00   2.00   1.80                     
 3 17  77   5.00   4.10   2.40                     
 3 17  77   6.00   4.40   2.80                     
 3 17  77   7.00   4.80   2.70   2.70   4.00       
 3 17  77   8.00   5.30                 3.90       
 3 17  77   9.00   5.40   2.20          4.00       
 3 17  77  11.00   5.50   2.60   2.60   3.70       
 3 17  77  12.00   5.30   2.70   2.70              
 3 17  77  14.00   4.70                            
 3 17  77  15.00   4.30   1.70                     
 3 17  77  16.00   4.10   1.60                     
 3 17  77  17.00   3.20   2.40                     
 3 17  77  18.00   2.60   1.80                     
 3 17  77  19.00   2.50   1.60                     
 3 17  77  21.00   2.30   1.60                     
