Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
12 14 348   0.00    2.4                            
12 14 348   1.00    2.4                            
12 14 348   2.00    2.1                            
12 14 348   4.00      2                            
12 14 348   5.00    2.5                            
12 14 348   6.00    3.4                            
12 14 348   7.00    4.2                            
12 14 348   8.00    5.3                            
12 14 348   9.00    5.7                            
12 14 348  10.00    5.9    2.8                  2.8
12 14 348  11.00    5.5      2                    2
12 14 348  12.00      5                            
12 14 348  13.00    4.5                            
12 14 348  14.00    4.1           1.9              
12 14 348  15.00    3.1    1.7                     
12 14 348  16.00           2.1                  2.1
12 14 348  17.00    2.2                            
12 14 348  18.00    2.1                            
12 14 348  19.00    2.3                            
12 14 348  20.00    2.2                            
12 14 348  21.00    2.3                            
12 14 348  22.00    2.8                            
12 14 348  23.00    2.4                            
