Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
 1 31  31   7.00    3.6                            
 1 31  31   8.00      4                            
 1 31  31   9.00    4.4           2.2              
 1 31  31  10.00    4.5           2.5    3.3       
 1 31  31  11.00    5.3           2.6    3.2       
 1 31  31  12.00    5.8           2.1    3.2       
 1 31  31  13.00    5.5                            
 1 31  31  14.00    5.3                            
 1 31  31  15.00    4.7                            
 1 31  31  16.00    3.8                            
