Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
12 19 353   8.00    5.2                            
12 19 353  10.00    6.3    2.8    2.6           2.8
12 19 353  11.00    6.2           2.7              
12 19 353  12.00      6           2.5              
12 19 353  13.00    5.8           2.2              
12 19 353  14.00    5.4                            
12 19 353  15.00      4                            
12 19 353  16.00      3                            
12 19 353  17.00    2.7                            
12 19 353  21.00    2.4                            
12 19 353  22.00    2.4                            
12 19 353  23.00    2.3                            
