Mo da yda  time  FoF2
12 22 357  22.00    3.5
12 22 357  23.00   3.75
12 22 357   0.00    4.1
12 22 357   1.00    3.7
12 22 357   2.00    3.1
12 22 357   3.00    2.8
12 22 357   4.00    2.9
12 22 357   5.00    2.5
12 22 357   6.00   3.85
12 22 357   7.00   5.65
12 22 357   8.00    4.5
12 22 357   9.00    4.9
12 22 357  10.00    5.4
12 22 357  11.00    4.3
12 22 357  12.00    5.0
12 22 357  13.00    4.2
12 22 357  14.00    2.7
12 22 357  15.00    2.4
12 22 357  16.00    2.3
12 22 357  17.00    2.9
12 22 357  18.00    3.5
12 22 357  19.00    3.0
12 22 357  20.00    3.7
12 22 357  21.00    3.7
