Mo da yda  time  FoF2
 1 25  25  22.00    2.4
 1 25  25  23.00    2.7
 1 25  25   0.00    2.7
 1 25  25   1.00    2.4
 1 25  25   2.00    2.0
 1 25  25   3.00    2.0
 1 25  25   4.00    1.9
 1 25  25   5.00    2.9
 1 25  25   6.00    4.4
 1 25  25   7.00   4.25
 1 25  25   8.00    4.3
 1 25  25   9.00   4.75
 1 25  25  10.00    4.6
 1 25  25  11.00    5.2
 1 25  25  12.00    4.7
 1 25  25  13.00    4.1
 1 25  25  14.00    3.8
 1 25  25  15.00    3.1
 1 25  25  16.00    2.7
 1 25  25  18.00    2.1
 1 25  25  19.00    2.4
 1 25  25  20.00    2.7
 1 25  25  21.00    2.6
