Mo da yda  time  FoF2
12 11 346  22.00    2.8
12 11 346  23.00    3.0
12 11 346   0.00    3.1
12 11 346   1.00    2.9
12 11 346   2.00    2.3
12 11 346   3.00    1.9
12 11 346   4.00    1.9
12 11 346   5.00    2.3
12 11 346   6.00    3.5
12 11 346   7.00    4.1
12 11 346   8.00    4.2
12 11 346   9.00    4.0
12 11 346  10.00    5.2
12 11 346  11.00    4.8
12 11 346  12.00   4.75
12 11 346  13.00   3.25
12 11 346  14.00    2.6
12 11 346  15.00   2.25
12 11 346  16.00    2.0
12 11 346  17.00   2.15
12 11 346  18.00    2.4
12 11 346  19.00    2.5
12 11 346  20.00   3.05
12 11 346  21.00    2.8
