Mo da yda  time  FoF2
12 19 354  22.00    3.2
12 19 354  23.00    3.5
12 19 354   0.00    3.6
12 19 354   1.00   3.05
12 19 354   2.00    2.7
12 19 354   3.00    2.4
12 19 354   4.00    2.2
12 19 354   5.00   2.25
12 19 354   6.00   3.75
12 19 354   7.00   4.85
12 19 354   8.00    5.3
12 19 354   9.00    5.0
12 19 354  10.00    4.8
12 19 354  11.00    4.4
12 19 354  12.00    4.2
12 19 354  13.00    3.8
12 19 354  14.00    2.8
12 19 354  15.00   2.35
12 19 354  16.00    2.2
12 19 354  17.00    2.0
12 19 354  18.00    2.1
12 19 354  19.00    2.3
12 19 354  20.00   2.75
12 19 354  21.00    3.0
