Mo da yda  time  FoF2
 1 26  26  22.00    2.6
 1 26  26  23.00    2.6
 1 26  26   0.00    2.9
 1 26  26   1.00    2.6
 1 26  26   2.00    2.0
 1 26  26   3.00    1.8
 1 26  26   4.00    2.2
 1 26  26   5.00    2.6
 1 26  26   6.00    3.7
 1 26  26   7.00    4.5
 1 26  26   8.00    4.7
 1 26  26   9.00    4.9
 1 26  26  10.00    4.9
 1 26  26  11.00    6.1
 1 26  26  12.00    5.3
 1 26  26  13.00    5.2
 1 26  26  14.00    4.5
 1 26  26  15.00    3.2
 1 26  26  16.00    2.4
 1 26  26  17.00    2.9
 1 26  26  18.00    3.6
 1 26  26  19.00    4.5
 1 26  26  20.00    4.0
 1 26  26  21.00    3.5
