Mo da yda  time  FoF2
 2 15  46  22.00    2.0
 2 15  46  23.00    2.2
 2 15  46   0.00    2.1
 2 15  46   1.00    2.2
 2 15  46   2.00    1.9
 2 15  46   5.00    3.0
 2 15  46   6.00    4.5
 2 15  46   7.00    5.3
 2 15  46   8.00    5.8
 2 15  46   9.00    6.7
 2 15  46  10.00    5.6
 2 15  46  11.00    5.5
 2 15  46  12.00    5.5
 2 15  46  13.00    5.3
 2 15  46  14.00    4.8
 2 15  46  15.00    4.1
 2 15  46  16.00   3.55
 2 15  46  17.00    2.8
 2 15  46  18.00   2.25
 2 15  46  19.00    2.4
 2 15  46  20.00    2.3
 2 15  46  21.00    2.2
