Mo da yda  time  FoF2
12 18 353  22.00    3.6
12 18 353  23.00    3.5
12 18 353   0.00    3.6
12 18 353   1.00    3.1
12 18 353   2.00    2.8
12 18 353   3.00    2.5
12 18 353   4.00    1.9
12 18 353   5.00    2.3
12 18 353   6.00    3.6
12 18 353   7.00    4.4
12 18 353   8.00    5.1
12 18 353   9.00    5.0
12 18 353  10.00    5.1
12 18 353  11.00    4.7
12 18 353  12.00    4.5
12 18 353  13.00    4.8
12 18 353  14.00    2.5
12 18 353  15.00   2.75
12 18 353  16.00    2.1
12 18 353  21.00    3.6
