Mo da yda  time  FoF2
12 17 352  22.00    3.3
12 17 352  23.00    3.4
12 17 352   0.00   3.45
12 17 352   1.00    3.2
12 17 352   2.00    2.8
12 17 352   3.00    2.3
12 17 352   4.00    2.1
12 17 352   5.00    2.5
12 17 352   6.00    3.4
12 17 352   7.00    5.0
12 17 352   8.00    5.6
12 17 352   9.00    5.7
12 17 352  10.00    5.6
12 17 352  11.00    5.5
12 17 352  12.00    4.7
12 17 352  13.00    4.4
12 17 352  14.00   3.25
12 17 352  15.00    2.7
12 17 352  17.00    2.7
12 17 352  19.00    2.8
12 17 352  20.00    3.0
