Mo da yda  time  FoF2
 1 21  21  22.00    3.0
 1 21  21  23.00    3.1
 1 21  21   0.00    2.8
 1 21  21   1.00    2.8
 1 21  21   2.00    2.5
 1 21  21   3.00    2.3
 1 21  21   4.00    2.3
 1 21  21   5.00    2.5
 1 21  21   6.00    4.0
 1 21  21   7.00    4.6
 1 21  21   8.00   4.55
 1 21  21   9.00    4.5
 1 21  21  10.00   4.55
 1 21  21  11.00    4.4
 1 21  21  12.00    4.4
 1 21  21  13.00    3.8
 1 21  21  14.00    3.3
 1 21  21  15.00    2.4
 1 21  21  16.00    1.9
 1 21  21  17.00    2.1
 1 21  21  18.00    2.1
 1 21  21  19.00    2.3
 1 21  21  20.00    2.6
 1 21  21  21.00    2.7
