Mo da yda  time  FoF2
 1 15  15  22.00    2.7
 1 15  15  23.00   2.75
 1 15  15   0.00    2.7
 1 15  15   1.00   2.25
 1 15  15   2.00    1.9
 1 15  15   3.00    1.8
 1 15  15   4.00    2.0
 1 15  15   5.00    2.5
 1 15  15   6.00    3.5
 1 15  15   7.00    4.5
 1 15  15   8.00    4.7
 1 15  15   9.00    4.9
 1 15  15  10.00    5.2
 1 15  15  11.00    4.6
 1 15  15  12.00    4.8
 1 15  15  13.00    4.4
 1 15  15  14.00    3.8
 1 15  15  15.00    3.1
 1 15  15  16.00    2.4
 1 15  15  17.00    2.4
 1 15  15  18.00    2.7
 1 15  15  19.00    2.7
 1 15  15  20.00    2.6
 1 15  15  21.00    2.6
