Mo da yda  time  FoF2
 3 29  88  22.00    3.0
 3 29  88  23.00    2.8
 3 29  88   0.00   2.65
 3 29  88   1.00    2.5
 3 29  88   2.00   2.45
 3 29  88   3.00    2.7
 3 29  88   4.00    3.5
 3 29  88   5.00    3.7
 3 29  88   6.00   3.75
 3 29  88   7.00    4.4
 3 29  88   8.00    4.0
 3 29  88   9.00   4.75
 3 29  88  10.00   4.65
 3 29  88  11.00   4.75
 3 29  88  12.00    4.7
 3 29  88  13.00   4.55
 3 29  88  14.00    4.4
 3 29  88  15.00    4.2
 3 29  88  16.00   4.25
 3 29  88  17.00    4.9
 3 29  88  18.00    3.5
 3 29  88  19.00   3.25
 3 29  88  21.00    2.3
