Mo da yda  time  FoF2
 2 28  59  22.00    3.2
 2 28  59  23.00    3.6
 2 28  59   0.00    3.6
 2 28  59   1.00    3.3
 2 28  59   2.00    3.0
 2 28  59   3.00    2.5
 2 28  59   4.00    2.5
 2 28  59   5.00    3.4
 2 28  59   6.00    4.0
 2 28  59   7.00    4.9
 2 28  59   8.00    5.5
 2 28  59   9.00    5.5
 2 28  59  10.00    5.6
 2 28  59  11.00    5.0
 2 28  59  12.00    4.9
 2 28  59  13.00    4.8
 2 28  59  14.00    4.3
 2 28  59  15.00    4.2
 2 28  59  16.00    3.7
 2 28  59  17.00    4.0
 2 28  59  18.00    3.5
 2 28  59  19.00    3.2
 2 28  59  20.00    3.4
 2 28  59  21.00   3.05
