Mo da yda  time  FoF2
12 24 359  22.00    3.2
12 24 359  23.00    3.3
12 24 359   0.00    3.1
12 24 359   1.00   2.55
12 24 359   2.00    2.0
12 24 359   3.00    1.8
12 24 359   4.00    1.7
12 24 359   5.00    2.0
12 24 359   6.00    3.6
12 24 359   7.00    4.8
12 24 359   8.00    5.1
12 24 359   9.00    5.1
12 24 359  10.00    5.0
12 24 359  11.00   5.05
12 24 359  12.00    4.5
12 24 359  13.00    3.7
12 24 359  14.00    3.4
12 24 359  15.00   2.45
12 24 359  16.00    2.6
12 24 359  17.00    2.3
12 24 359  18.00    2.5
