Mo da yda  time  FoF2
12 25 360   1.00    2.5
12 25 360   2.00    2.4
12 25 360   3.00    2.0
12 25 360   4.00    1.9
12 25 360   6.00    3.2
12 25 360   7.00    3.0
12 25 360   8.00    4.3
12 25 360   9.00   4.55
12 25 360  10.00    4.6
12 25 360  11.00    4.4
12 25 360  12.00    4.7
12 25 360  13.00    4.0
12 25 360  14.00    2.4
12 25 360  15.00    2.1
12 25 360  16.00    3.3
12 25 360  17.00    3.2
12 25 360  18.00    2.1
12 25 360  19.00    2.3
12 25 360  20.00    2.5
12 25 360  21.00    2.2
