Mo da yda  time  FoF2
12 20 355  22.00    2.8
12 20 355  23.00    2.8
12 20 355   0.00    2.7
12 20 355   1.00    2.4
12 20 355   2.00    1.7
12 20 355   3.00    1.6
12 20 355   4.00    1.8
12 20 355   5.00    2.0
12 20 355   6.00    3.7
12 20 355   7.00    4.5
12 20 355   8.00    5.0
12 20 355   9.00    4.9
12 20 355  10.00    5.2
12 20 355  11.00    4.6
12 20 355  12.00    4.5
12 20 355  13.00    3.9
12 20 355  14.00    3.0
12 20 355  16.00   2.35
12 20 355  17.00    2.4
12 20 355  18.00    2.5
12 20 355  19.00    2.9
12 20 355  20.00    2.9
12 20 355  21.00    3.1
