Mo da yda  time  FoF2
 3 19  78  22.00    2.8
 3 19  78  23.00    3.0
 3 19  78   0.00    3.0
 3 19  78   1.00    3.1
 3 19  78   2.00    3.1
 3 19  78   3.00    2.7
 3 19  78   4.00    3.5
 3 19  78   5.00    4.1
 3 19  78   6.00    4.3
 3 19  78   7.00    4.5
 3 19  78   8.00    4.8
 3 19  78   9.00   5.15
 3 19  78  10.00    5.1
 3 19  78  12.00    4.8
 3 19  78  13.00    4.6
 3 19  78  14.00    4.5
 3 19  78  15.00    4.1
 3 19  78  16.00    3.9
 3 19  78  17.00    3.0
 3 19  78  18.00    3.1
 3 19  78  19.00    3.1
 3 19  78  20.00   2.75
 3 19  78  21.00    2.7
