Mo da yda  time  FoF2
12 28 363   0.00    2.8
12 28 363   1.00    3.0
12 28 363   2.00    2.2
12 28 363   3.00   2.25
12 28 363   4.00    2.3
12 28 363   5.00   2.55
12 28 363   7.00    4.3
12 28 363   8.00    4.4
12 28 363   9.00    4.2
12 28 363  10.00    4.7
12 28 363  11.00    4.6
12 28 363  12.00    4.1
12 28 363  13.00    3.8
12 28 363  14.00    2.5
12 28 363  15.00    2.1
12 28 363  17.00    2.1
12 28 363  18.00    2.3
12 28 363  19.00    2.4
12 28 363  20.00    2.3
12 28 363  21.00    2.7
