Mo da yda  time  FoF2
12 31 366  22.00   2.85
12 31 366  23.00    3.0
12 31 366   0.00   3.05
12 31 366   1.00    2.8
12 31 366   2.00    2.5
12 31 366   3.00    2.1
12 31 366   4.00    2.3
12 31 366   5.00    2.6
12 31 366   6.00    3.4
12 31 366   7.00    4.5
12 31 366   8.00   4.75
12 31 366   9.00    4.7
12 31 366  10.00    4.9
12 31 366  11.00    5.0
12 31 366  12.00    4.9
12 31 366  13.00    4.0
12 31 366  14.00    2.8
12 31 366  15.00   2.75
12 31 366  16.00    2.8
12 31 366  17.00    2.9
12 31 366  18.00    2.9
12 31 366  19.00    3.1
12 31 366  20.00    3.5
12 31 366  21.00    3.6
