Mo da yda  time  FoF2
12 16 351  22.00    3.5
12 16 351  23.00    3.8
12 16 351   0.00    3.9
12 16 351   1.00    3.5
12 16 351   2.00    3.4
12 16 351   3.00    3.4
12 16 351   4.00    3.4
12 16 351   5.00    2.6
12 16 351   6.00    3.9
12 16 351   7.00    5.3
12 16 351   8.00    4.7
12 16 351   9.00    4.4
12 16 351  10.00    4.5
12 16 351  11.00    4.6
12 16 351  12.00    4.9
12 16 351  13.00    3.8
12 16 351  14.00    2.9
12 16 351  15.00    2.8
12 16 351  16.00    2.4
12 16 351  17.00    2.5
12 16 351  18.00    2.8
12 16 351  19.00    2.8
12 16 351  20.00    3.3
12 16 351  21.00    3.5
