Mo da yda  time  FoF2
12 26 361  22.00    2.3
12 26 361  23.00    2.3
12 26 361   0.00    2.5
12 26 361   1.00    2.2
12 26 361   3.00    2.0
12 26 361   4.00    1.8
12 26 361   5.00    2.2
12 26 361   6.00   3.15
12 26 361   7.00    4.5
12 26 361   8.00   4.75
12 26 361   9.00   4.55
12 26 361  10.00    4.6
12 26 361  11.00    4.4
12 26 361  12.00    4.6
12 26 361  16.00    2.1
12 26 361  17.00    2.1
12 26 361  18.00    2.4
12 26 361  19.00    2.2
12 26 361  20.00    2.5
12 26 361  21.00    2.5
