Mo da yda  time  FoF2
 1 27  27  22.00    3.7
 1 27  27  23.00    3.8
 1 27  27   0.00    3.8
 1 27  27   1.00    4.0
 1 27  27   2.00    3.4
 1 27  27   3.00    3.1
 1 27  27   4.00    2.7
 1 27  27   5.00    2.7
 1 27  27   6.00    4.1
 1 27  27   7.00    4.9
 1 27  27   8.00    4.5
 1 27  27   9.00    4.5
 1 27  27  10.00    4.6
 1 27  27  11.00    5.1
 1 27  27  12.00    4.6
 1 27  27  13.00    4.1
 1 27  27  14.00    3.8
 1 27  27  15.00    3.6
 1 27  27  16.00    3.1
 1 27  27  17.00    2.5
 1 27  27  18.00    2.6
 1 27  27  19.00    2.8
 1 27  27  20.00    3.1
 1 27  27  21.00    3.5
